mode,version,seed,split_label,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage,hidden_h_probe_from_pre_surface_accuracy
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.07,A,level2,0.7273075,0.7273075,0.6751075,0.814153775,0.052200000000000024,0.0,0.08684627499999997,0.0,0.52625,0.0,0.47375,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.07,A,level3,0.7273075,0.7273075,0.6751075,0.814153775,0.052200000000000024,0.0,0.08684627499999997,0.0,0.52625,0.0,0.47375,0.47375,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.07,B,level1,0.7316575,0.7316575,0.6522574999999999,0.815672839375,0.07940000000000003,0.0,0.08401533937500005,0.0,0.548875,0.0,0.451125,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.07,B,level2,0.7316575,0.7316575,0.6522574999999999,0.815672839375,0.07940000000000003,0.0,0.08401533937500005,0.0,0.548875,0.0,0.451125,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,structured,109,fixed_split_3985,0.07,B,level3,0.7316575,0.7316575,0.6522574999999999,0.815672839375,0.07940000000000003,0.0,0.08401533937500005,0.0,0.548875,0.0,0.451125,0.451125,0.0,0.61928125,0.743375,1.0,0.59809375
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.03,A,level1,0.73462,0.6302199999999999,0.73462,0.8161207149999999,0.0,0.10440000000000016,0.08150071499999989,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.03,A,level2,0.73462,0.6302199999999999,0.73462,0.8161207149999999,0.0,0.10440000000000016,0.08150071499999989,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.03,A,level3,0.73462,0.6302199999999999,0.73462,0.8161207149999999,0.0,0.10440000000000016,0.08150071499999989,1.0,0.547125,0.452875,0.0,0.547125,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.03,B,level1,0.737555,0.6260549999999999,0.737555,0.81659465,0.0,0.11150000000000004,0.07903965000000002,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
mode_A_fixed_split_fresh_seeds,null,109,fixed_split_3985,0.03,B,level2,0.737555,0.6260549999999999,0.737555,0.81659465,0.0,0.11150000000000004,0.07903965000000002,1.0,0.554,0.446,0.0,0.554,0.0,0.552,0.55525,1.0,0.379078125
