distribution,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,pos_obs_rate,nonpos_obs_rate,harmful_obs_rate,n_test_objects,n_test_signatures,n_non_global_estimates,n_fallbacks,fallback_rate,mean_estimated_E,min_estimated_E,max_estimated_E,strict_beats_always_observe,material_beats_always_observe_005,material_beats_always_observe_010
counterfactual_cov1.00,0.01,A,level1_cue_marginal,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,180,2,2,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,A,level2_knn_jaccard_k3,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,180,2,2,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,A,level3_candidate_set_tau0.5,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,180,2,2,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,B,exact_signature_oracle_belief,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,90,2,0,2,1.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,B,level1_cue_marginal,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,90,2,2,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,B,level2_knn_jaccard_k3,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,90,2,2,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,B,level3_candidate_set_tau0.5,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,90,2,2,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,C,exact_signature_oracle_belief,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,180,8,8,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,C,level1_cue_marginal,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,180,8,8,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
counterfactual_cov1.00,0.01,C,level2_knn_jaccard_k3,0.250000,0.250000,0.440000,0.443333,-0.190000,0.000000,0.193333,0.000000,0.000000,0.000000,0.000000,180,8,8,0,0.000000,-0.010000,-0.010000,-0.010000,False,False,False
