version,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,fallback_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage_rate,hidden_h_probe_from_pre_surface_accuracy
structured,0.05,B,level2,0.7269497245269094,0.7269497245269094,0.6713097648509051,0.7452134781543523,0.055639959676004325,0.0,0.018263753627442925,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.05,B,level3,0.7269497245269094,0.7269497245269094,0.6713097648509051,0.7452134781543523,0.055639959676004325,0.0,0.018263753627442925,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.07,A,level1,0.7269497245269094,0.7269497245269094,0.6757640990852665,0.7304935679646332,0.05118562544164296,0.0,0.003543843437723737,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.07,A,level2,0.7269497245269094,0.7269497245269094,0.6757640990852665,0.7304935679646332,0.05118562544164296,0.0,0.003543843437723737,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.07,A,level3,0.7269497245269094,0.7269497245269094,0.6757640990852665,0.7304935679646332,0.05118562544164296,0.0,0.003543843437723737,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.07,B,level1,0.7269497245269094,0.7269497245269094,0.6513097648509051,0.7352134781543523,0.07563995967600434,0.0,0.008263753627442916,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.07,B,level2,0.7269497245269094,0.7269497245269094,0.6513097648509051,0.7352134781543523,0.07563995967600434,0.0,0.008263753627442916,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.07,B,level3,0.7269497245269094,0.7269497245269094,0.6513097648509051,0.7352134781543523,0.07563995967600434,0.0,0.008263753627442916,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.1,A,level1,0.7269497245269094,0.7269497245269094,0.6457640990852664,0.7269497245269094,0.08118562544164298,0.0,0.0,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.1,A,level2,0.7269497245269094,0.7269497245269094,0.6457640990852664,0.7269497245269094,0.08118562544164298,0.0,0.0,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.1,A,level3,0.7269497245269094,0.7269497245269094,0.6457640990852664,0.7269497245269094,0.08118562544164298,0.0,0.0,0.0,0.5226836069403029,0.0,0.4773163930596971,0.0,0.4773163930596971,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.1,B,level1,0.7269497245269094,0.7269497245269094,0.6213097648509052,0.7269497245269094,0.10563995967600426,0.0,0.0,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.1,B,level2,0.7269497245269094,0.7269497245269094,0.6213097648509052,0.7269497245269094,0.10563995967600426,0.0,0.0,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
structured,0.1,B,level3,0.7269497245269094,0.7269497245269094,0.6213097648509052,0.7269497245269094,0.10563995967600426,0.0,0.0,0.0,0.5532515247332548,0.0,0.4467484752667453,0.0,0.4467484752667453,0.0,0.6174649255833793,0.742017801214395,1.0,0.5979379811554606
null,0.03,A,level1,0.7358672426569153,0.6274958354572444,0.7358672426569153,0.7358672426569153,0.0,0.10837140719967087,0.0,1.0,0.5518363898884744,0.4481636101115256,0.0,0.0,0.5518363898884744,0.0,0.5518363898884744,0.5518363898884744,1.0,0.3788721308888858
