variant_id,family,test_type,observe_cost,always_try_net,always_observe_net,oracle_selective_net,oracle_minus_always_observe,always_observe_minus_always_try,positive_net_rate,mean_true_E_positive,mean_true_E_nonpositive,level1_policy_net,level2_policy_net,level3_policy_net,best_level,best_level_net,best_level_delta_vs_always_observe,level1_sign_correct_rate,level2_sign_correct_rate,level3_sign_correct_rate,level1_corr,level2_corr,level3_corr,fallback_rate_best_level,passes_primary_criteria,rejection_reason
A2_current_cov0.50,A,B,0.07,0.150000,0.260000,0.332000,0.072000,0.110000,0.800000,0.227500,-0.360000,0.260000,0.260000,0.260000,level1,0.260000,0.000000,0.800000,0.800000,0.800000,-0.300257,-0.300257,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,C,0.07,0.210000,0.263333,0.337222,0.073889,0.053333,0.722222,0.176735,-0.271944,0.263333,0.263333,0.263333,level1,0.263333,0.000000,0.722222,0.722222,0.722222,0.084206,0.076264,-0.051681,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,A,0.10,0.153333,0.233333,0.310000,0.076667,0.080000,0.805556,0.194583,-0.395000,0.233333,0.233333,0.233333,level1,0.233333,0.000000,0.805556,0.805556,0.805556,-0.302837,-0.302837,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,B,0.10,0.150000,0.230000,0.308000,0.078000,0.080000,0.800000,0.197500,-0.390000,0.230000,0.230000,0.230000,level1,0.230000,0.000000,0.800000,0.800000,0.800000,-0.300257,-0.300257,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,C,0.10,0.210000,0.233333,0.315556,0.082222,0.023333,0.688889,0.153296,-0.285056,0.233333,0.233333,0.233333,level1,0.233333,0.000000,0.688889,0.688889,0.688889,0.084206,0.076264,-0.051681,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,A,0.12,0.153333,0.213333,0.293889,0.080556,0.060000,0.805556,0.174583,-0.415000,0.213333,0.213333,0.213333,level1,0.213333,0.000000,0.805556,0.805556,0.805556,-0.302837,-0.302837,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,B,0.12,0.150000,0.210000,0.292000,0.082000,0.060000,0.800000,0.177500,-0.410000,0.210000,0.210000,0.210000,level1,0.210000,0.000000,0.800000,0.800000,0.800000,-0.300257,-0.300257,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,C,0.12,0.210000,0.213333,0.301778,0.088444,0.003333,0.688889,0.133296,-0.305056,0.213333,0.213333,0.213333,level1,0.213333,0.000000,0.688889,0.688889,0.688889,0.084206,0.076264,-0.051681,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,A,0.15,0.153333,0.183333,0.269722,0.086389,0.030000,0.805556,0.144583,-0.445000,0.183333,0.183333,0.183333,level1,0.183333,0.000000,0.805556,0.805556,0.805556,-0.302837,-0.302837,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,B,0.15,0.150000,0.180000,0.268000,0.088000,0.030000,0.800000,0.147500,-0.440000,0.180000,0.180000,0.180000,level1,0.180000,0.000000,0.800000,0.800000,0.800000,-0.300257,-0.300257,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A2_current_cov0.50,A,C,0.15,0.210000,0.183333,0.281111,0.097778,-0.026667,0.688889,0.103296,-0.335056,0.183333,0.183333,0.183333,level1,0.183333,0.000000,0.688889,0.688889,0.688889,0.084206,0.076264,-0.051681,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A3_current_cov1.00,A,A,0.03,0.263333,0.233333,0.350667,0.117333,-0.030000,0.355556,0.250000,-0.182616,0.263333,0.263333,0.263333,level1,0.263333,0.030000,0.644444,0.644444,0.644444,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,B,0.03,0.283333,0.253333,0.368778,0.115444,-0.030000,0.388889,0.220000,-0.188929,0.283333,0.283333,0.283333,level1,0.283333,0.030000,0.611111,0.611111,0.611111,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,C,0.03,0.263333,0.233333,0.329222,0.095889,-0.030000,0.322222,0.219945,-0.141304,0.263333,0.263333,0.263333,level1,0.263333,0.030000,0.677778,0.677778,0.677778,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,A,0.05,0.263333,0.213333,0.343556,0.130222,-0.050000,0.355556,0.230000,-0.202616,0.263333,0.263333,0.263333,level1,0.263333,0.050000,0.644444,0.644444,0.644444,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,B,0.05,0.283333,0.233333,0.361000,0.127667,-0.050000,0.388889,0.200000,-0.208929,0.283333,0.283333,0.283333,level1,0.283333,0.050000,0.611111,0.611111,0.611111,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,C,0.05,0.263333,0.213333,0.322778,0.109444,-0.050000,0.322222,0.199945,-0.161304,0.263333,0.263333,0.263333,level1,0.263333,0.050000,0.677778,0.677778,0.677778,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,A,0.07,0.263333,0.193333,0.336444,0.143111,-0.070000,0.355556,0.210000,-0.222616,0.263333,0.263333,0.263333,level1,0.263333,0.070000,0.644444,0.644444,0.644444,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,B,0.07,0.283333,0.213333,0.353222,0.139889,-0.070000,0.388889,0.180000,-0.228929,0.283333,0.283333,0.283333,level1,0.283333,0.070000,0.611111,0.611111,0.611111,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,C,0.07,0.263333,0.193333,0.316333,0.123000,-0.070000,0.322222,0.179945,-0.181304,0.263333,0.263333,0.263333,level1,0.263333,0.070000,0.677778,0.677778,0.677778,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,A,0.10,0.263333,0.163333,0.325778,0.162444,-0.100000,0.355556,0.180000,-0.252616,0.263333,0.263333,0.263333,level1,0.263333,0.100000,0.644444,0.644444,0.644444,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,B,0.10,0.283333,0.183333,0.341556,0.158222,-0.100000,0.388889,0.150000,-0.258929,0.283333,0.283333,0.283333,level1,0.283333,0.100000,0.611111,0.611111,0.611111,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,C,0.10,0.263333,0.163333,0.306667,0.143333,-0.100000,0.211111,0.195000,-0.183791,0.263333,0.263333,0.263333,level1,0.263333,0.100000,0.788889,0.788889,0.788889,0.000000,0.000000,0.000000,0.000000,False,
A3_current_cov1.00,A,A,0.12,0.263333,0.143333,0.318667,0.175333,-0.120000,0.355556,0.160000,-0.272616,0.263333,0.263333,0.263333,level1,0.263333,0.120000,0.644444,0.644444,0.644444,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,B,0.12,0.283333,0.163333,0.333778,0.170444,-0.120000,0.388889,0.130000,-0.278929,0.283333,0.283333,0.283333,level1,0.283333,0.120000,0.611111,0.611111,0.611111,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,C,0.12,0.263333,0.143333,0.302444,0.159111,-0.120000,0.211111,0.175000,-0.203791,0.263333,0.263333,0.263333,level1,0.263333,0.120000,0.788889,0.788889,0.788889,0.000000,0.000000,0.000000,0.000000,False,
A3_current_cov1.00,A,A,0.15,0.263333,0.113333,0.308000,0.194667,-0.150000,0.355556,0.130000,-0.302616,0.263333,0.263333,0.263333,level1,0.263333,0.150000,0.644444,0.644444,0.644444,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,B,0.15,0.283333,0.133333,0.322111,0.188778,-0.150000,0.388889,0.100000,-0.308929,0.283333,0.283333,0.283333,level1,0.283333,0.150000,0.611111,0.611111,0.611111,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough
A3_current_cov1.00,A,C,0.15,0.263333,0.113333,0.296111,0.182778,-0.150000,0.211111,0.145000,-0.233791,0.263333,0.263333,0.263333,level1,0.263333,0.150000,0.788889,0.788889,0.788889,0.000000,0.000000,0.000000,0.000000,False,
B_cov0.25_target50,B,A,0.03,0.165000,0.120000,0.292500,0.172500,-0.045000,0.500000,0.255000,-0.345000,0.120000,0.120000,0.120000,level1,0.120000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,B,0.03,0.180000,0.120000,0.300000,0.180000,-0.060000,0.500000,0.240000,-0.360000,0.120000,0.120000,0.120000,level1,0.120000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,C,0.03,0.330000,0.420000,0.435000,0.015000,0.090000,0.500000,0.210000,-0.030000,0.420000,0.420000,0.420000,level1,0.420000,0.000000,0.500000,0.500000,0.500000,-0.600000,-0.200000,-1.000000,0.000000,False,oracle_gap_lt_0.03;nonpositive_not_negative_enough;sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,A,0.05,0.165000,0.100000,0.282500,0.182500,-0.065000,0.500000,0.235000,-0.365000,0.100000,0.100000,0.100000,level1,0.100000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,B,0.05,0.180000,0.100000,0.290000,0.190000,-0.080000,0.500000,0.220000,-0.380000,0.100000,0.100000,0.100000,level1,0.100000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,C,0.05,0.330000,0.400000,0.425000,0.025000,0.070000,0.500000,0.190000,-0.050000,0.400000,0.400000,0.400000,level1,0.400000,0.000000,0.500000,0.500000,0.500000,-0.600000,-0.200000,-1.000000,0.000000,False,oracle_gap_lt_0.03;nonpositive_not_negative_enough;sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,A,0.07,0.165000,0.080000,0.272500,0.192500,-0.085000,0.500000,0.215000,-0.385000,0.080000,0.080000,0.080000,level1,0.080000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,B,0.07,0.180000,0.080000,0.280000,0.200000,-0.100000,0.500000,0.200000,-0.400000,0.080000,0.080000,0.080000,level1,0.080000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,C,0.07,0.330000,0.380000,0.415000,0.035000,0.050000,0.500000,0.170000,-0.070000,0.380000,0.380000,0.380000,level1,0.380000,0.000000,0.500000,0.500000,0.500000,-0.600000,-0.200000,-1.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,A,0.10,0.165000,0.050000,0.257500,0.207500,-0.115000,0.500000,0.185000,-0.415000,0.050000,0.050000,0.050000,level1,0.050000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,B,0.10,0.180000,0.050000,0.265000,0.215000,-0.130000,0.500000,0.170000,-0.430000,0.050000,0.050000,0.050000,level1,0.050000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
B_cov0.25_target50,B,C,0.10,0.320000,0.350000,0.390000,0.040000,0.030000,0.500000,0.140000,-0.080000,0.350000,0.350000,0.350000,level1,0.350000,0.000000,0.500000,0.500000,0.500000,-1.000000,-0.600000,-1.000000,0.000000,False,sign_correct_not_enough;best_level_does_not_beat_always_observe
